@relation music_classification

@attribute 'acousticness' numeric
@attribute 'danceability' numeric
@attribute 'duration_ms' numeric
@attribute 'energy' numeric
@attribute 'instrumentalness' numeric
@attribute 'key' numeric
@attribute 'liveness' numeric
@attribute 'loudness' numeric
@attribute 'mode' numeric
@attribute 'speechiness' numeric
@attribute 'tempo' numeric
@attribute 'time_signature' numeric
@attribute 'valence' numeric
@attribute 'class' {hip-hop/rap, pop, dance}

@data
0.0127,0.443,318750,0.645,0.952,6,0.122,-6.24,1,0.0515,128.044,4.0,0.138,hip-hop/rap
0.00943,0.507,282273,0.934,0.0018,8,0.222,-2.325,0,0.188,175.954,4.0,0.472,hip-hop/rap
0.000758,0.695,253773,0.912,0.000103,10,0.302,-3.331,0,0.193,160.043,4.0,0.612,hip-hop/rap
0.0161,0.526,241440,0.712,0.0,11,0.179,-6.525,0,0.0356,105.009,4.0,0.299,pop
0.0134,0.405,592920,0.647,7.62e-05,5,0.819,-6.109,0,0.0482,131.952,4.0,0.204,hip-hop/rap
0.0219,0.735,269817,0.641,0.89,7,0.168,-6.177,0,0.0284,105.993,4.0,0.886,dance
0.0452,0.746,238146,0.416,7.77e-05,11,0.12,-6.607,1,0.0482,132.036,4.0,0.216,pop
0.0224,0.634,221960,0.609,0.0,6,0.099,-8.982,1,0.172,83.021,4.0,0.659,hip-hop/rap
0.244,0.607,253800,0.488,0.000177,8,0.113,-8.704,1,0.193,77.021,4.0,0.16,pop
7.19e-05,0.558,258187,0.642,0.00746,5,0.201,-5.206,0,0.0321,99.977,4.0,0.492,dance
0.0227,0.698,248053,0.804,0.0599,4,0.566,-6.616,1,0.111,92.001,4.0,0.786,dance
0.103,0.772,191160,0.582,6.61e-05,4,0.323,-5.96,0,0.309,172.03,4.0,0.564,hip-hop/rap
0.0956,0.788,238467,0.864,0.0,11,0.335,-5.767,1,0.0335,133.295,4.0,0.678,pop
0.00102,0.798,227587,0.751,3.22e-06,1,0.0271,-6.335,1,0.263,162.003,4.0,0.482,dance
2.13e-05,0.259,350920,0.847,0.823,2,0.133,-6.298,1,0.0332,150.162,4.0,0.682,dance
0.334,0.726,221787,0.583,0.00135,0,0.122,-6.434,0,0.23,140.943,4.0,0.48,dance
0.0648,0.855,310907,0.638,0.0,9,0.162,-4.968,0,0.143,122.967,4.0,0.433,hip-hop/rap
0.185,0.704,282253,0.431,0.0972,8,0.249,-7.893,1,0.131,146.003,4.0,0.349,hip-hop/rap
0.000472,0.502,244204,0.833,0.043,2,0.352,-4.982,1,0.0638,142.053,4.0,0.593,hip-hop/rap
0.00157,0.79,217707,0.676,0.0,8,0.25,-6.432,0,0.271,132.002,4.0,0.314,hip-hop/rap
0.0233,0.738,242188,0.849,0.0317,2,0.309,-6.246,1,0.0822,95.987,4.0,0.863,dance
0.0734,0.791,219333,0.779,0.0,7,0.0832,-5.972,1,0.235,110.037,4.0,0.581,hip-hop/rap
0.19,0.735,275840,0.41,0.0,11,0.341,-8.735,0,0.2,114.812,4.0,0.16,hip-hop/rap
0.188,0.556,294360,0.582,0.911,6,0.229,-10.65,0,0.0357,131.023,4.0,0.516,dance
0.0111,0.563,176361,0.81,2.71e-05,8,0.142,-9.158,1,0.0372,99.996,4.0,0.767,dance
0.0496,0.753,256320,0.708,0.0123,6,0.0872,-7.217,0,0.223,115.004,4.0,0.445,pop
0.0682,0.557,293910,0.608,0.0263,5,0.196,-7.657,0,0.0862,109.67,4.0,0.211,pop
0.489,0.594,235693,0.42,0.00452,4,0.0833,-8.467,0,0.031,140.04,4.0,0.311,pop
0.217,0.704,185437,0.657,0.000118,10,0.0888,-7.172,0,0.35,150.058,4.0,0.804,hip-hop/rap
0.0472,0.849,217693,0.408,0.0,6,0.101,-8.67,0,0.284,99.876,4.0,0.337,hip-hop/rap
0.00689,0.717,224933,0.862,0.0,8,0.321,-4.736,1,0.054,130.021,4.0,0.512,hip-hop/rap
0.0246,0.586,374133,0.806,0.000167,1,0.353,-9.542,1,0.0548,110.325,4.0,0.207,dance
0.00399,0.648,560600,0.85,0.294,1,0.35,-6.277,1,0.0439,112.014,4.0,0.559,dance
0.0789,0.577,355881,0.941,0.207,10,0.342,-4.338,1,0.0422,99.995,4.0,0.381,dance
0.141,0.5,256093,0.593,6.21e-06,1,0.0969,-4.34,1,0.0898,68.456,4.0,0.325,hip-hop/rap
0.108,0.804,336160,0.708,0.0636,10,0.0528,-5.099,0,0.0394,141.996,4.0,0.966,dance
0.0108,0.787,273853,0.658,0.0152,8,0.13,-5.379,0,0.0324,110.983,4.0,0.867,dance
0.64,0.518,405027,0.385,0.000536,9,0.0931,-11.125,0,0.0286,100.878,4.0,0.264,dance
0.0414,0.774,269867,0.901,4.84e-06,9,0.873,-5.398,0,0.216,128.024,4.0,0.768,dance
0.0127,0.547,245293,0.635,5.01e-06,2,0.0585,-5.569,1,0.137,113.678,4.0,0.496,pop
0.0488,0.633,224720,0.492,0.00047,2,0.0758,-7.672,1,0.0524,114.845,4.0,0.357,pop
0.365,0.312,222719,0.445,0.0038,11,0.13,-7.202,0,0.0305,97.967,4.0,0.308,pop
0.17,0.43,154414,0.436,0.0,8,0.128,-4.816,1,0.119,90.053,4.0,0.22,dance
0.613,0.698,230200,0.878,1.61e-05,8,0.518,-0.307,1,0.314,182.126,4.0,0.816,dance
0.0516,0.718,224267,0.921,0.0473,5,0.315,-3.978,0,0.0375,121.922,4.0,0.898,dance
0.0855,0.737,332453,0.545,9.32e-05,6,0.153,-8.536,0,0.362,140.086,4.0,0.438,hip-hop/rap
0.0293,0.769,214333,0.712,2.12e-06,8,0.103,-4.692,0,0.029,120.975,4.0,0.948,dance
0.0411,0.767,179240,0.912,0.402,1,0.0288,-1.157,1,0.054,144.084,4.0,0.496,pop
0.00471,0.542,227160,0.799,0.0161,4,0.0814,-3.641,0,0.0354,92.215,4.0,0.426,dance
0.00919,0.45,201602,0.782,0.101,11,0.123,-6.769,1,0.0364,173.954,4.0,0.209,pop
0.385,0.415,359800,0.681,0.0,2,0.101,-4.104,0,0.189,171.893,4.0,0.372,hip-hop/rap
0.105,0.901,212712,0.744,7.79e-06,0,0.0964,-3.484,1,0.283,135.95,4.0,0.606,hip-hop/rap
0.119,0.583,202710,0.843,0.0,1,0.602,-7.416,0,0.409,108.066,5.0,0.422,hip-hop/rap
0.0696,0.512,287147,0.821,0.33,9,0.0998,-7.442,0,0.0334,149.988,4.0,0.396,dance
0.849,0.533,378253,0.213,0.565,3,0.449,-13.437,0,0.0342,80.004,4.0,0.196,pop
0.0398,0.674,313147,0.501,0.000123,2,0.0818,-12.907,0,0.0579,107.363,4.0,0.567,dance
0.0448,0.788,243800,0.617,0.0,2,0.088,-4.516,1,0.0651,122.065,4.0,0.13,pop
0.0107,0.621,240760,0.796,0.187,8,0.0719,-6.179,0,0.0327,140.012,4.0,0.288,dance
0.0988,0.856,247800,0.874,0.000472,11,0.339,-8.037,0,0.0401,122.416,4.0,0.91,dance
0.0778,0.729,289627,0.527,0.0,9,0.382,-6.338,1,0.0708,126.012,4.0,0.23,hip-hop/rap
0.642,0.657,175333,0.393,4.03e-05,0,0.14,-7.667,1,0.0367,99.946,4.0,0.266,pop
0.0172,0.496,190582,0.54,0.0367,7,0.13,-7.121,0,0.0324,131.337,5.0,0.172,pop
0.0639,0.742,256693,0.945,0.165,5,0.131,-6.445,1,0.0428,112.977,4.0,0.748,pop
0.00101,0.736,258387,0.68,0.897,4,0.0922,-7.036,0,0.0361,120.995,4.0,0.0793,pop
0.0117,0.683,175357,0.86,0.000379,7,0.356,-7.317,1,0.31,143.311,4.0,0.317,hip-hop/rap
0.251,0.569,265827,0.74,2.68e-06,0,0.134,-6.235,1,0.283,180.559,4.0,0.709,hip-hop/rap
0.00744,0.578,246007,0.947,0.0816,11,0.105,-2.431,0,0.036,134.034,4.0,0.452,dance
0.449,0.586,217120,0.658,0.368,10,0.109,-9.71,0,0.0457,144.933,4.0,0.276,pop
0.275,0.756,206378,0.44,0.0,1,0.101,-9.973,0,0.179,112.14,4.0,0.307,hip-hop/rap
0.00333,0.586,238507,0.671,0.916,10,0.0521,-9.787,0,0.0445,91.412,4.0,0.771,hip-hop/rap
0.0181,0.932,192773,0.819,6.81e-06,8,0.0577,-3.484,0,0.203,119.941,4.0,0.552,pop
0.108,0.53,194613,0.433,0.0,6,0.135,-10.598,1,0.185,160.14,4.0,0.272,hip-hop/rap
0.124,0.875,347667,0.532,0.0123,10,0.314,-13.265,0,0.0686,116.556,4.0,0.704,pop
0.074,0.523,215867,0.722,0.00336,6,0.122,-6.533,1,0.0307,129.424,4.0,0.496,hip-hop/rap
0.455,0.847,191541,0.654,0.0622,5,0.0674,-6.443,0,0.113,119.998,4.0,0.624,pop
0.00593,0.609,207301,0.641,0.585,8,0.105,-5.309,1,0.0266,84.957,4.0,0.0844,pop
0.174,0.544,181400,0.427,0.0248,9,0.133,-8.33,0,0.0298,139.939,4.0,0.189,pop
0.000304,0.316,245880,0.748,0.0139,2,0.608,-8.187,1,0.0413,79.337,4.0,0.239,dance
0.0453,0.806,218280,0.696,5.71e-06,11,0.0785,-5.109,1,0.0502,127.023,4.0,0.131,hip-hop/rap
0.0141,0.651,256667,0.824,6.02e-06,0,0.129,-9.368,1,0.0617,141.226,4.0,0.731,dance
0.379,0.535,293213,0.374,0.0464,9,0.0914,-8.83,1,0.0317,121.93,3.0,0.339,pop
0.0356,0.483,229893,0.804,1.6e-06,8,0.0736,-3.452,1,0.0501,73.048,4.0,0.803,dance
0.407,0.688,192040,0.488,0.0,11,0.43,-14.195,0,0.357,69.77,4.0,0.708,hip-hop/rap
0.00079,0.771,248991,0.248,0.1,5,0.341,-20.815,0,0.0802,139.937,4.0,0.281,pop
0.058,0.648,201848,0.887,0.0,1,0.0382,-4.536,0,0.188,102.128,4.0,0.464,hip-hop/rap
0.00838,0.587,235440,0.866,3.55e-05,9,0.15,-6.444,1,0.0816,107.986,3.0,0.42,dance
0.429,0.551,141493,0.952,0.000686,7,0.0721,-4.886,1,0.0944,136.958,4.0,0.628,hip-hop/rap
0.0138,0.677,144280,0.905,0.0,6,0.219,-4.597,1,0.0721,89.988,4.0,0.742,pop
0.315,0.65,190734,0.448,0.0,5,0.0931,-9.979,1,0.0947,85.045,4.0,0.193,hip-hop/rap
0.119,0.716,263817,0.647,1.38e-05,1,0.121,-4.008,1,0.0345,131.04,4.0,0.159,pop
0.0893,0.636,235813,0.72,0.0178,11,0.0868,-6.195,1,0.0432,124.944,4.0,0.444,dance
0.0469,0.766,237867,0.82,0.0,2,0.336,-5.851,1,0.124,117.012,4.0,0.401,hip-hop/rap
0.0124,0.612,231765,0.858,0.0,7,0.0984,-5.437,0,0.0478,145.306,4.0,0.451,pop
0.128,0.889,272720,0.597,0.0004,9,0.0924,-7.301,0,0.374,119.999,4.0,0.261,hip-hop/rap
0.0406,0.536,238893,0.922,8.92e-05,2,0.214,-6.247,1,0.0667,121.977,4.0,0.368,pop
